Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#
Information / Aggravated Robbery,5632 S. Lake Shore Dr. (Underpass),10/30/17 11:07 AM,10/30/17 10:50 AM,"Victim walking off campus through the Park District underpass at Lake Shore Drive was approached by an unknown suspect who demanded the victim's property while implying a handgun, no weapon displayed / Suspect took the victim's cell phone and wallet and told victim to run westbound / Victim reported no physical injuries / CPD case JA491747",CPD,17-00953
Information,850 E. 61st St. (UCPD HQ),10/30/17 11:10 AM,10/17/17 9:05 AM,Individual reported receiving harassing email message from an acquaintance,Closed,17-00954
Found Property,5800 S. Greenwood (Main Quad),10/30/17 4:05 PM,10/30/17 1:55 PM,Individual found cash on the ground while walking through the Quad / Turned over to UCPD for safekeeping,Closed,17-00955
Mental Health Transport,5555 S. Woodlawn (Student Counseling Services),10/30/17 6:09 PM,10/30/17 6:05 PM,Individual transported to ER for evaluation and treatment,Closed,17-00956
Theft,1000 E. Midway Pl,10/30/17 10:24 PM,10/30/17 8:00 PM to 10:15 PM,"Unattended, unsecured bag containing cell phones and other personal items taken by unknown person(s) while victims played on the Midway",Open,17-00957
Information / Armed Robbery,Greenwood between 54th & 55th,10/30/17 10:45 PM,10/30/17 10:20 PM,"Customer and pizza deliveryman confronted in front of residence by two unknown suspects displaying handguns / Suspects took iPhone, cash, and pizza before fleeing northbound on foot / CPD case JA492540",CPD,17-00958
Medical Call,1649 E. 56th St.,10/31/17 12:50 AM,10/31/17 12:50 AM,Sick individual transported to the ER by CFD EMS  for evaluation and treatment,Closed,17-00959
Theft,800 E. 55th St. (Friend Center),10/31/17 12:56 PM,10/31/17 8:05 AM to 12:15 PM,Cash taken from unattended purse placed in unsecured storage closet,Open,17-00960
Assist Other Agency,Kimbark between 51st & 52nd,10/31/17 5:26 PM,10/31/17 5:26 PM,2 unknown suspects armed with a handgun took a book bag and a wallet from victim going into the rear of off campus apartment building and fled in a vehicle / UCPD officers located suspect's vehicle / Suspects crashed car on 47th near Cottage Grove and 3 were detained by UCPD and CPD / Charged with armed robbery / CPD case JA493557,CPD/Arrest,17-00961
Void,Void,Void,Void,Number generated in error,Void,17-00962
Found Property,5300 S. Harper,10/31/17 8:10 PM,10/31/17 7:40 PM,UCPD officer found a BB gun on the sidewalk off campus / Inventoried for safekeeping,Closed,17-00963
Theft,5640 S. University (Bartlett Commons),10/31/17 6:50 PM,10/31/17 4:00 PM to 4:15 PM,MacBook computer taken from unattended book bag left on chair in dining hall,Open,17-00964
Information / Armed Robbery,5461 S. Cornell (Public Way),10/31/17 8:43 PM,10/31/17 8:30 PM,"Victim walking on the sidewalk off campus was approached by an unknown suspect who exited a gray sedan / The suspect displayed a handgun, took victim's wallet and iPhone, reentered the vehicle that drove off / CPD case JA493752",CPD,17-00965
Information / Armed Robbery,5633 S. Kenwood (Public Way),10/31/17 9:06 PM,10/31/17 8:55 PM,Victim walking on the sidewalk off campus was approached from the rear by an unknown suspect who displayed a handgun and took the victim's cell phone and wallet / The suspect ran to a waiting gray sedan that drove east on 57th St. / Referred to CPD,CPD,17-00966
Information / Aggravated Battery,1530 E. 53rd St. (Public Way),10/31/17 9:37 PM,10/31/17 9:37 PM,UCPD officer attempting to break up a fight involving a large group of males was struck in the face by a suspect / Two suspects taken into custody and charged with aggravated battery / Four officers sustained injuries and were treated at ER / CPD case JA493837,CPD,17-00967
Information / Armed Robbery,Drexel between 52nd & 53rd,10/31/17 10:49 PM,10/31/17 10:30 PM,Victim walking in the courtyard of a private off campus apartment building was approached from the rear by three unknown males and one unknown female/  Victim was struck with a bottle / Suspects took victim's cell phone and wallet before fleeing on foot / Victim treated on the scene by CFD EMS / CPD case JA493839,CPD,17-00968
Information / Aggravated Robbery,900 E. 55th St.,10/31/17 10:56 PM,10/31/17 10:45 PM,Victim walking on the sidewalk off campus was approached from the rear by three unknown males and one unknown female / One suspect implied a weapon - no weapon displayed / One suspect struck the victim while others took the victim's cell phone and wallet before fleeing on foot / Victim refused medical attention / CPD,CPD,17-00969
Information / Battery,5402 S. Ellis (Public Way),10/31/17 11:54 PM,10/31/17 9:30 PM,"Victim walking on the sidewalk off campus was approached by two unknown suspects who, without provocation, struck the victim with their fists / Victim walked to ER for treatment / CPD case JA493877",CPD,17-00970
