Incident,Location,Reported,Occurred,Comments / Nature of Fire,Disposition,UCPDI#
Domestic Battery,5815 S. Maryland (Mitchell Hospital),1/3/17 2:49 PM,1/3/17 1:20 PM,Boyfriend struck girlfriend with his fists and choked her / Arrested by UCPD,Arrest,17-00010
Information / Sexual Assault,850 E. 61st St.,1/3/17 1:30 PM,Unknown,"UCPD notified by Riverwoods, IL police department of a sexual assault allegation in a UC Medicine building / Location, date and time of incident unknown at this time / Chicago police notified",Referred Riverwoods PD / CPD,17-00011
Damage to Property,850 E. 61st St.,1/3/17 7:26 PM,1/3/17 6:00 PM,Key broke off in lock cylinder of south lobby door,Closed,17-00012
Domestic Battery,5721 S. Maryland (Comer Hospital),1/3/17 10:10 PM,1/3/17 9:55 PM,Boyfriend choked girlfriend during the course of a domestic argument / Suspect fled before police arrived. / Victim refused to prosecute suspect /,Ex. Cleared,17-00013
Injured Person,850 E. 61st St. (UCPD HQ),1/4/17 10:13 AM,12/22/16 9:00 AM,Staff member fell from chair injuring his back,Closed,17-00014
Lost Property,5700 S. Maryland (CCD),1/4/17 2:13 PM,1/3/2017  7:30 PM to 8:30 PM,Patient lost cell phone / Believes phone may have been lost in bed sheets,Closed,17-00015
Liquor Law Violation,5500 S. University (Campus North RH),1/5/17 12:59 AM,1/5/17 12:59 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,17-00016
Found Property,5801 S. Ellis (Levi Hall),1/5/17 12:41 PM,1/5/17 8:15 AM,Staff member found a spent projectile in the breezeway of the building / Turned over to UCPD for proper disposal,Closed,17-00017
Information,850 E. 61st St.,1/5/17 3:14 PM,1/5/17 1:45 PM,UCPD informed of threats posted on a social media site / CPD investigation,CPD,17-00018
Information / Homicide,841 E. 46th St.,1/5/17 11:17 PM,1/5/17 11:15 PM,"A victim, not affiliated with the University, suffered fatal gunshot wounds while sitting in a parked vehicle off-campus / An unknown suspect fired multiple gunshots into the vehicle before fleeing westbound on 46th St. on foot / CPD is investigating what appears to be a targeted shooting / CPD case JA105744",CPD,17-00019
Traffic Crash,901 E. 58th St.,1/6/17 8:10 AM,1/6/17 8:10 AM,Parked UC owned vehicle struck by another vehicle backing into a parking space on the street / Property damage only / No injuries reported / 2017-MVA00003,Closed,17-00020
Theft,5700 S. Maryland (CCD),1/6/17 10:38 AM,1/6/2017  8:45 AM to 10:00 AM,Cell phone left unattended in washroom was taken by an unknown person,Open,17-00021
Disturbance,5730 S. Drexel (Comer ER),1/6/17 8:06 PM,1/6/17 8:06 PM,Two individuals involved in a loud disturbance / Peace restored,Closed,17-00022
Information / Aggravated Battery,5348 S. Maryland (Public Way),1/7/17 9:32 PM,1/7/17 9:25 PM,"Victim, not affiliated with the University, walking on the sidewalk off-campus, suffered wounds to both hands when an unknown person fired a weapon from a passing van / Victim transported to ER by CFD EMS / CPD case JA107765",CPD,17-00023
Criminal Damage to Property,5840 S. Maryland (Parking Structure),1/8/17 12:06 AM,1/7/17 6:30 AM to 11:25 PM,Rear window of vehicle shattered while parked in the parking structure,Open,17-00024
Lost Property,5815 S. Maryland (Mitchell Hospital),1/9/17 8:58 AM,1/8/17  6:50 AM to 9:30 AM,Individual reports losing debit card between 5840 S. Maryland and 5815 S. Maryland,Closed,17-00025
Information / Battery,5300 S. Drexel,1/9/17 9:08 AM,1/9/17 9:07 AM,"During the course of a traffic dispute off-campus between a bicyclist and a motorist, the motorist struck the cyclist in the face with his fist / Suspect left the scene prior to arrival of police / CPD case JA109023",CPD,17-00026
Theft,5500 S. University (Campus North RH),1/9/17 10:41 AM,1/6/17 to 1/7/17 9:35 PM to 2:00 PM,Laptop left unattended and unsecured in 3rd floor common room was taken by an unknown person,Open,17-00027
Theft,5758 S. Maryland (DCAM),1/9/17 2:44 PM,12/1/16 to 12/17/16 12:00 AM to 11:55 PM,Prescription pads taken from locked cabinet in office,Open,17-00028
Found Property,850 E. 61st St.,1/9/17 2:58 PM,1/9/17 12:00 PM,Ventra card found on First Transit bus / Turned over to UCPD for safekeeping,Closed,17-00029
Information / Burglary / Home Invasion,Greenwood between 53rd & 54th,1/9/17 5:33 PM,1/9/17 5:30 PM,"Unknown suspect forced entry to an off-campus home, confronted resident and took cash from a wallet sitting on a table before fleeing / CPD case JA109690",CPD,17-00030
Theft,1362 E. 59th St. (Lab School Bike Rack),1/9/17 6:12 PM,1/6/17 to 1/9/17 8:30 AM to 1:30 PM,Secured bicycle taken from bike rack / Subsequent investigation revealed the bicycle had been secured to a fence and was removed by Facilities Dept. / Bicycle returned to owner / No theft occurred,Unfounded,17-00031
Information / Damage to vehicle,Dorchester at 60th (Apostolic Church Parking Lot),1/10/17 11:01 AM,1/10/17 10:45 AM,"A utility pole fell striking an unoccupied car parked in the lot / Property damage only, no injuries reported / CPD case",CPD,17-00032
Criminal Sexual Assault,1005 E. 60th St. (Burton-Judson RH),1/10/17 11:41 AM,Spring 2016,"DSS was notified by a Campus Security Authority that an undisclosed victim was sexually assaulted by an acquaintance in the Spring of 2016 / Due to the confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report     17-001
Criminal Sexual Assault,1005 E. 60th St. (Burton-Judson RH),1/10/17 11:42 AM,Fall 2015,"DSS was notified by a Campus Security Authority that an undisclosed victim was sexually assaulted by an acquaintance in the Fall of 2015 / Due to the confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report     17-002
Theft,6025 S. Ellis (Cathey Dining Commons),1/10/17 11:48 AM,1/10/17 10:20 AM to 10:30 AM,"Unattended, unsecured cell phone taken from table top in dining hall",Open,17-00033
Mental Health Transport,5555 S. Ellis (Student Health),1/10/17 12:48 PM,1/10/17 12:45 PM,Individual transported to ER for evaluation and treatment,Closed,17-00034
Non-Criminal Damage to Property,6054 S. Drexel (Parking Structure),1/10/17 4:11 PM,1/10/17 6:30 AM to 4:00 PM,A large trash container struck unoccupied vehicle parked in the parking structure shattering the driver's side window,Closed,17-00035
Non Criminal Damage to Property,805 E. Midway Pl.,1/11/17 1:41 PM,1/11/17 7:10 AM to 1:40 PM,Rear window of car parked on the street shattered / Cause unknown at this time,Closed,17-00036
Mental Health Transport,5555 S. Woodlawn (Student Counseling),1/11/17 4:33 PM,1/11/17 4:33 PM,Individual transported to ER for evaluation and treatment,Closed,17-00037
Sexual Assault / Fondling,5500 S. University (Campus North RH),1/12/17 2:25 PM,1/7/2017  Unknown time,"DSS notified by a Campus Security Authority that undisclosed victim reported that she was fondled by a known person in the residence hall / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report      17-003
Stalking,5807 S. Woodlawn (Booth School),1/12/17 2:26 PM,3/1/16 to 1/11/17  Various times,"DSS notified by a Campus Security Authority that undisclosed victim reported that she is being stalked by a classmate / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report      17-004
Void,Void,Void,Void,Number generated in error,Void,17-00038
Battery,901 E. 58th St. (Mitchell ER),1/12/17 8:45 PM,1/12/17 8:45 PM,UCM staff member battered while attempting to restrain an unruly mental health patient / Declined to pursue charges,Ex. Cleared,17-00039
Information / Theft from Person,1375 E. 57th St.,1/13/17 3:21 PM,1/13/17 3:15 PM,Victim walking on the sidewalk off-campus was approached from behind by an unknown suspect who took an iPhone from the victim's hand and fled eastbound / CPD case,CPD,17-00040
Lost Property,901 E. 58th St. (Mitchell ER),1/13/17 8:11 PM,1/13/17 5:30 PM,Staff member reports losing cell phone from his pocket,Closed,17-00041
Void,Void,Void,Void,Number generated in error,Void,17-00042
Liquor Law Violation,5500 S. University (Campus North RH),1/13/17 9:50 PM,1/13/17 9:50 PM,Underage individual became ill after consuming alcoholic beverages / Transported to ER for evaluation and treatment,Referred,17-00043
Information / Theft from Motor Vehicle,5600 S. Dorchester,1/14/17 4:09 PM,1/2/17 to 1/10/17 3:00 PM to 8:40 AM,Unknown person(s) smashed window of car parked on the street off-campus and took a GPS device / CPD case,CPD,17-00044
Liquor Law Violation,1005 E. 60th St. (Burton-Judson RH),1/15/17 1:09 AM,1/15/17 1:09 AM,Underage individual became ill after consuming alcoholic beverage / Transported to ER by CFD EMS for evaluation and treatment,Referred,17-00045
Information / Aggravated Battery,6227 S. Cottage Grove (Public Way),1/15/17 2:46 PM,1/15/17 2:45 PM,"An individual, unaffiliated with the University, was shot in the right shoulder by an unknown individual while walking on the sidewalk off-campus / CPD investigating this apparent targeted attack / CPD case JA116995",CPD,17-00046
Criminal Sexual Assault,Off-Campus Private Apartment,1/15/17 3:59 PM,1/14/17 Unknown time,"DSS notified by a Campus Security Authority that an undisclosed victim reported that she was drugged and sexually assaulted by an acquaintance at an off-campus private apartment / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report     17-005
Liquor Law Violation,5500 S. University (Campus North RH),1/16/17 1:02 AM,1/16/17 1:02 AM,Underage individual became ill after consuming alcoholic beverages / Transported to the ER by CFD EMS,Referred,17-00048
Liquor Law Violation,6031 S. Ellis (Granville-Grossman RH),1/16/17 1:49 AM,1/16/17 1:49 AM,Underage individual became ill after consuming alcoholic beverages / Transported to the ER by CFD EMS,Referred,17-00049
Information,5815 S. Maryland (Mitchell Hospital),1/16/17 3:21 PM,10/5/16 to 12/1/16 8:00 AM to 8:00 AM,2 former staff members took hospital issued iPads when they left their place of employment,Open,17-00050
Medical Call,1005 E. 60th St. (Burton-Judson RH),1/16/17 5:54 PM,1/16/16 5:54 PM,Individual became ill after taking overdose of medication / Transported to the hospital by CFD EMS for evaluation and treatment,Closed,17-00051
Injured Person,6000 S. Ellis (Public Way),1/16/17 6:02 PM,1/16/17 6:00 PM,Individual slipped on icy street and fell causing injury to both knees / Transported to ER by CFD EMS for evaluation and treatment,Closed,17-00052
Theft from Motor Vehicle,5656 S. Maryland (Parking Structure),1/16/17 6:13 PM,1/16/17 8:30 AM to 6:00 PM,Unknown person smashed window of parked car and took a GPS device,Open,17-00053
Mental Health Transport,5555 S. Woodlawn (Student Counseling),1/17/17 12:11 PM,1/17/17 12:11 PM,Individual transported to ER for evaluation and treatment,Closed,17-00054
Information,850 E. 61st St. (UCPD HQ),1/17/17 12:45 PM,1/17/17 12:45 PM,Individual filed a copy of an emergency order of protection with UCPD / CPD case,CPD,17-00055
Information / Aggravated Battery,930 E. 46th St.,1/17/17 3:59 PM,1/17/17 3:59 PM,Individual not affiliated with the University walking on the sidewalk off-campus suffered a gunshot wound to the chest as a result of a drive-by shooting / Transported to ER by CFD EMS / CPD case JA113988,CPD,17-00056
Lost Property,6031 S. Ellis (Granville-Grossman RH),1/17/17 6:28 PM,1/16/17 2:45 PM to 4:00 PM,Individual reports misplacing wallet while in the residence hall,Closed,17-00057
Information / Aggravated Battery,5135 S. Blackstone (Public Way),1/17/17 9:05 PM,1/17/17 9:00 PM,Individual walking with three other persons on the sidewalk off-campus suffered multiple gunshot wounds in what appears to be a targeted attack / CPD case JA119838,CPD,17-00058
Found Narcotics,5700 S. Maryland (CCD),1/18/17 12:02 PM,1/18/17 12:02 PM,Staff member found a small plastic baggy containing white powder in patient's room / Tested positive for narcotics / Inventoried at UCPD for proper disposal,Closed,17-00059
Information / Traffic Crash / Personal Injury,5500 S. Lake Park,1/18/17 5:41 PM,1/18/17 5:41 PM,Motorist struck pedestrian walking in the crosswalk / Victim transported to ER by CFD EMS / CPD case JA120855,CPD,17-00060
Medical Call,1009 E. 57th St. (Snell Hall),1/19/17 1:27 PM,1/19/17 8:30 AM,Individual reports fainting and striking her head on the floor / Transported to ER by CFD EMS,Closed,17-00061
Lost Property,924 E. 57th St. (BSLC),1/19/17 4:41 PM,1/18/17 4:00 PM to 7:00 PM,Individual reports losing shoulder bag while in the building,Closed,17-00062
Information,850 E. 61st St. (UCPD),1/19/17 4:30 PM,4/1/15 to 1/19/17 Various,Individual reports ongoing suspicious activity off-campus / Previously reported to CPD,Closed,17-00063
Lost Property,1100 E. 57th St. (Regenstein),1/19/17 5:39 PM,1/19/17 1:25 PM to 1:30 PM,Individual reports losing cell phone and UC ID while in the library,Closed,17-00064
Information / Sexual Abuse,50th Pl. between Cornell and East End,1/19/17 11:21 PM,1/19/17 11:10 PM,Victim reports being sexually fondled by an unknown suspect while in the laundry room of an off-campus private apartment building / CPD case JA122421,CPD,17-00065
Found Property,5801 S. Ellis (Levi Hall),1/20/17 11:49 AM,1/20/17 11:49 AM,Bahamas driver's license found in Levi Hall turned over to and inventoried by UCPD,Closed,17-00066
Information,61st St. between Greenwood & University,1/20/17 2:11 PM,1/20/17 2:00 PM,Information of harassment by an acquaintance / CPD case,CPD,17-00067
Lost Property,6031 S. Ellis (Granville-Grossman (RH),1/21/17 3:50 PM,1/21/17 12:40 AM to 3:30 AM,Individual reports losing his wallet in the residence hall,Closed,17-00068
Information / Aggravated Robbery,5401 S. Ellis,1/22/17 6:45 AM,1/22/17 6:40 AM,Victim was approached by an unknown suspect on the street off-campus / Suspect struck the victim with an unknown object and took victim's property before fleeing in a red car /  CPD case JA125273,CPD,17-00069
Assist Other Agency / Aggravated Robbery,4901 S. Cottage Grove,1/23/17 4:56 PM,1/23/17 4:55 PM,"Three suspects, implying a weapon, took an iPhone and wallet from a victim at the CTA bus stop off-campus before boarding the bus / UCPD officer curbed bus and detained the suspects / Victim's iPhone and wallet recovered / Suspects turned over to CPD and charged with robbery / CPD case JA127103",CPD / Arrest,17-00070
Motor Vehicle Theft,1130 E. Midway Pl.,1/23/17 4:42 PM,1/23/17 8:00 AM to 4:00 PM,Unknown person(s) took 1991 Honda Accord that was parked at the curb,Open,17-00071
Lost Property,5758 S. Maryland (DCAM),1/24/17 12:03 PM,1/19/17 1:00 PM to 2:00 PM,Individual reports losing wallet while in the building,Closed,17-00072
Battery,5758 S. Maryland (DCAM),1/24/17 3:23 PM,1/20/17 11:00 AM,Staff member reports being shoved by another staff member / Victim refused prosecution / Matter to be handled internally,Ex. Cleared,17-00073
Theft,5730 S. Ellis (Crerar Bike Rack),1/25/17 10:39 AM,1/16/17 9:00 AM to 11:00 PM,Secured bicycle taken from bike rack,Open,17-00074
Lost Property,5757 S. University (Saieh Hall),1/25/17 12:11 PM,12/28/16 to 1/21/17 10:00 AM to 10:00 AM,"Individual lost a Chinese passport, possibly in Saieh Hall",Closed,17-00075
Sexual Assault / Fondling,5500 S. University (Campus North RH),1/25/17 2:50 PM,1/8/17 Unknown time,"DSS notified by a Campus Security Authority that an undisclosed victim reported that she was fondled by an acquaintance in the residence hall / Due to confidentially of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report    17-008
Lost Property,1427 E. 60th St. (Press Building),1/25/17 2:18 PM,1/25/17 11:55 AM to 12:05 PM,Individual reports losing a driver's license between 1427 E. 60th St. and 1414 E. 61st Pl.,Closed,17-00076
Information / Robbery,5555 S. Woodlawn,1/25/17 7:05 PM,1/25/17 7:05 PM,Two unknown suspects forcibly took an iPhone from a victim walking on the sidewalk before fleeing to a waiting white Nissan sedan with temporary Illinois license plates / CPD case JA129886,CPD,17-00077
Battery,6031 S. Ellis (Granville-Grossman RH Market),1/25/17 10:28 PM,1/25/17 10:00 PM,"Unknown suspect, without provocation, slapped victim on the face with an open hand before fleeing via the front door / Victim declined medical attention / Suspect later identified, victim declined to prosecute",Ex. Cleared,17-00078
Theft,5530 S. Ellis (Ratner A.C.),1/26/17 3:05 PM,1/25/17 to 1/26/17 8:00 PM to 1:00 AM,"Unattended, unsecured jeans with credit card and UC ID in pocket were taken from the floor of the gym / Unauthorized use of credit card reported",Open,17-00079
Information,1362 E. 59th St. (Lab School),1/26/17 4:08 PM,1/26/17 4:00 PM,Information provided by contract employee regarding two emergency orders of protection that are on file / CPD cases,CPD,17-00080
Found Property,850 E. 61st St. (UCPD HQ),1/27/17 11:35 AM,1/27/17 11:35 AM,First Transit employee turned over iPod found on a UC Shuttle Bus / Inventoried for safekeeping,Closed,17-00081
Information,5811 S. Ellis (Cobb Hall),1/27/17 2:25 PM,1/27/17 2:25 PM,UCPD officer provided security subsequent to a contract employee being discharged / No problem reported,Closed,17-00082
Information / Armed Robbery,Cornell between 54th & 55th,1/28/17 7:57 PM,1/28/15 7:50 PM,"Two unknown suspects, one armed with a handgun, took iPhone from food delivery driver exiting off-campus private apartment building / No injuries reported / CPD case JA133551",CPD,17-00083
Aggravated Battery / Domestic,5815 S. Maryland (Mitchell Hospital),1/29/17 12:23 PM,1/29/17 12:20 PM,"Ex-Boyfriend strangled patient with a telephone cord and struck her in the chest with his fist before fleeing  / Subsequent to follow-up investigation, victim declined to prosecute known suspect",Ex. Cleared,17-00084
Information / Lost Property,850 E. 61st St. (UCPD HQ),1/29/17 2:18 PM,1/28/17 2:00 PM to 2:05 PM,Staff member reports losing wallet with UC ID outside of UCPD patrol area / CPD case,CPD,17-00085
Lost Property,850 E. 61st St. (UCPD HQ.),1/30/17 6:59 AM,1/29/17 to 1/30/17 7:00 PM to 6:50 AM,A vehicle registration sticker was reported missing from the license plate of a UC owned vehicle,Closed,17-00086
Information,4623 S. Woodlawn,1/30/17 12:50 PM,1/30/17 12:45 PM,"Victim, not affiliated with the University, suffered a gunshot wound to the groin off-campus / Transported to the hospital by CFD EMS / CPD case JA135250",CPD,17-00087
Found Property,850 E. 61st St. (UCPD HQ),1/31/17 2:47 PM,1/31/17 2:47 PM,First Transit employee turned over debit card that was found on a UC Shuttle Bus / Card inventoried and held for owner,Closed,17-00089
Missing Person,5640 S. Ellis,1/31/17 4:19 PM,1/30/17 to 1/31/17 9:30 PM to 2:30 PM,Co-workers reported a contract employee missing after making attempts to contact the individual / Missing person later contacted UCPD to inform of his whereabouts and well-being,Closed,17-00090
Sexual Assault / Fondling,1005 E. 60th St. (Burton-Judson RH),10/17/17 1:13 PM,Unknown date and  time,"DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was fondled by an acquaintance in the residence hall during the Winter Quarter of 2016 / Due to the confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report      17-034
Sexual Assault / Fondling,1101 E. 56th St. (Max Palevsky RH),10/17/17 1:17 PM,9/25/15 unknown time,"DSS was notified by a Campus Security Authority that an undisclosed victim reported that she was fondled by an acquaintance in the residence hall during in 2015 / Due to the confidentiality of reporting, limited information is available",No Investigation Referred to Title IX Coordinator,CSA Report      17-035
Stalking,5807 S. Woodlawn (Booth School),10/17/17 1:19 PM,Unknown dates and times,"DSS was notified by a Campus Security Authority that an undisclosed victim reported being stalked by a known individual while in the Booth School and other locations on campus / Due to confidentiality of reporting, limited information is available regarding this incident",No Investigation Referred to Title IX Coordinator,CSA Report    17-036
Lost/Found Property,950 E. 59th St.,2/1/17 8:54 AM,1/31/17 to 2/1/17 2:00 PM to 8:15 AM,Individual lost wallet / Wallet found and returned to owner minus credit cards,Closed,17-00090
Theft,1100 E. 59th St. (Public Way),2/1/17 9:20 AM,1/27/17 to 1/30/17 3:30 PM to 7:00 AM,Front license plate taken from vehicle parked at the curb,Open,17-00091
Information / Burglary,Greenwood between 61st & 62nd,2/1/17 8:12 PM,2/1/17 4:00 PM to 7:30 PM,Unknown person(s) made entry to off-campus private apartment via a side window and took property / CPD case JA138437,CPD,17-00092
Lost Property,5823 S. Kenwood (Kovler Gym),2/2/17 4:27 PM,1/6/17 to 1/9/17 4:00 PM to 7:00 AM,Individual lost flute / Remembers last seeing the instrument while in Kovler Gym at Lab School,Closed,17-00093
Theft,5530 S. Ellis (Ratner A.C),2/2/17 10:29 PM,2/2/17 9:15 PM to 9:20 PM,"Cell phone taken from unattended, unsecured locker in locker room",Open,17-00094
Information / Traffic Crash,850 E. 61st St. (UCPD HQ),2/3/17 11:09 AM,2/3/17 11:00 AM,UC owned vehicle struck by a second vehicle while parked at the curb at 516 E. 43rd St. / CPD case JA140179,CPD,17-00096
Found Property,850 E. 61st St. (UCPD HQ),2/3/17 1:55 PM,2/1/17 to 2/3/17 1:00 PM to 2:00PM,First Transit personnel turned over to UCPD a pair of Burberry eyeglasses found on a campus Shuttle Bus / Inventoried at UCPD HQ for safekeeping,Closed,17-00097
Information,6025 S. Ellis (Cathey Dining Hall),2/3/17 9:44 AM,2/2/17 8:30 PM,Disgruntled contract employee voiced threats to co-workers,Closed,17-00098
Criminal Damage to Property,5656 S. Maryland (Parking Structure),2/3/17 5:35 PM,2/3/17 6:45 AM to 5:30 PM,Passenger's side window in parked car was shattered,Open,17-00099
Information / Burglary,Lake Shore Dr. between 50th & 51st,2/3/17 6:34 PM,2/3/17 10:00 AM to 6:00 PM,Unknown person(s) gained unlawful entry to off-campus private apartment and took property / CPD case,CPD,17-00100
Battery,5815 S. Maryland (Mitchell Hospital),2/3/17 8:06 PM,2/3/17 8:00 PM,Disturbed patient struck staff and UCPD officers while being restrained / Charges to be filed pending discharge from the hospital,Open,17-00101
Theft,1212 E. 59th St. (Ida Noyes),2/4/17 8:31 PM,2/4/17 10:00 AM to 12:30 PM,"Cash and credit cards taken from pocket of unattended, unsecured jacket left hanging on the back of a chair in meeting room / Complainant found his wallet in his gym bag / No crime occurred",Unfounded,17-00102
Liquor Law Violation,5714 S. Woodlawn (Front Yard),2/5/17 2:20 AM,2/5/17 2:20 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,17-00103
Found Property,Blackstone at 59th,2/5/17 9:14 AM,2/5/17 9:14 AM,Individual found wallet on the public way and turned it over to UCPD for safekeeping,Closed,17-00104
Non-Criminal / Recovery / Automobile,1153 E. 56th St.,2/5/17 3:31 PM,2/5/17 3:30 PM,"UCPD officer recovered an unoccupied vehicle parked at the curb / Vehicle had been reported stolen to Oak Lawn, IL PD",Closed,17-00105
Injured Person,5554 S. Ellis (Public Way),2/6/17 11:59 AM,2/6/17 11:55 AM,"Individual tripped on uneven sidewalk, fell striking face on pavement / Treated on the scene by CFD for bloody nose / Victim declined further medical attention",Closed,17-00106
Theft,5758 S. Maryland (DCAM),2/6/17 1:58 PM,2/6/17 1:35 PM,Individual took several items of food from the Central Caf� and fled without paying / Suspect detained by MC Public Safety Officers and arrested by UCPD,Arrest,17-00107
Theft,5500 S. University (Campus North RH),2/6/17 3:21 PM,2/5/17 5:50 PM to 7:00 PM,"Unattended, unsecured back pack left on chair in dining hall taken by unknown person / Suspect identiifed by UCPD Investigations / Arrested and charged with felony theft on 2/14/17",Arrest,17-00108
Theft from Motor Vehicle,5840 S. Maryland (Parking Structure),2/6/17 3:45 PM,2/6/17 12:00 PM to 3:45 PM,Unknown person(s) shattered driver's side window of vehicle parked on the 4th level and took a Garman GPS device,Open,17-00109
Theft from Motor Vehicle,5656 S. Maryland (Parking Structure),2/6/17 7:43 PM,2/6/17 8:45 AM to 7:40 PM,Unknown person(s) smashed passenger's side window of vehicle parked on the 7th level and took a radar detector,Open,17-00110
Mental Health Transport,6031 S. Ellis (Granville-Grossman RH),2/6/17 11:50 PM,2/6/17 11:50 PM,Individual transported to ER for evaluation and treatment,Closed,17-00112
Information / Armed Robbery,5048 S. Cornell (Gas Station),2/7/17 12:17 AM,2/6/17 11:55 PM,"Two unknown males, both armed with handguns, took cash and other property from a victim standing by the gas pumps on the service station lot / CPD case JA144458",CPD,17-00111
Found Narcotics,5700 S. Maryland (CCD),2/7/17 7:56 AM,2/6/17 6:45 PM,Staff member found small amount of suspect narcotics in patient's room / Turned over to UCPD and inventoried for proper disposal,Closed,17-00113
Mental Health Transport,5555 S. Woodlawn (Student Counseling),2/7/17 12:04 PM,2/7/17 12:04 PM,Individual transported to ER for evaluation and treatment,Closed,17-00114
Traffic Crash,5555 S. Woodlawn (Alley),2/7/17 2:30 PM,2/7/17 12:25 PM,UC owned vehicle involved in minor property damage accident / No injuries reported / 2017-MVA000024,Closed,17-00115
Theft from Motor Vehicle,1155 E. 57th St. (Alley),2/8/17 2:20 PM,2/8/17 1:20 PM to 2:00 PM,Unknown person(s) punched door lock of unoccupied UC Facilities van and took tools,Open,17-00116
Damage to Vehicle,901 E. 58th St.,2/8/17 7:39 PM,2/8/27 7:35 PM,Key broke in door lock of UC owned vehicle,Closed,17-00117
Burglary,920 E. 58th St. (Cummings),2/9/17 12:28 PM,2/9/17 10:20 AM to 12:00 PM,"Unsecured, unattended purse taken from unsecured office",Open,17-00118
Information,5735 S. Ellis (Searle Lab),2/9/17 7:41 PM,2/9/17 7:40 PM,Unauthorized individual found in building / Issued  written trespass warning and escorted from the premise,Closed,17-00119
Non-Criminal / Damage to Property,5840 S. Maryland (Parking Structure),2/10/17 10:59 AM,2/10/17 10:59 AM,"Due to high winds a light pole fell on a car parked on the 5th floor / Damage to roof, windshield, and frame.",Closed,17-00120
Injured Person,5400 S. University (Public Way),2/11/17 1:01 AM,2/11/17 12:50 AM,Individual tripped while walking on the sidewalk off-campus injuring an ankle / Transported to ER by CFD EMS,Closed,17-00121
Information / Armed Robbery / Vehicle Hijacking,6300 S. Stony Island,2/11/17 2:21 AM,2/11/17 2:20 AM,"Unknown suspect, armed with a handgun, forced victim from his vehicle off-campus and took car driving westbound on 63rd St / CPD case JA149506",CPD,17-00122
Traffic Crash,959 E. 61st St.,2/11/17 3:01 AM,2/11/17 3:00 AM,"UC owned vehicle struck by another vehicle / Property damage only, no injuries reported / 2017-MVA00027",Closed,17-00123
Liquor Law Violation,5625 S. Ellis (Max Palevsky RH),2/12/17 12:31 AM,2/12/17 12:31 AM,Underage individual became ill after consuming alcoholic beverages / Transported to ER by CFD EMS,Referred,17-00124
Domestic Battery,5100 S. Lake Park (Public Way),2/12/17 6:31 AM,2/12/17 6:25 AM,Boyfriend and girlfriend engaged in argument that became physical on the sidewalk off-campus / Both parties declined to press charges,Ex. Cleared,17-00125
Theft,5656 S. Maryland (Parking Structure,2/12/17 1:16 PM,2/12/17 12:40 PM to 1:20 PM,Individual left wallet on top of parking structure pay station machine / Wallet later recovered minus cash,Open,17-00126
Information,Harper between 58th & 59th,2/12/17 9:39 PM,2/12/17 9:20 PM,"Two unknown suspects, one armed with a handgun, attempted to take a cell phone from a victim walking on the sidewalk off-campus / Victim managed to flee and no property was taken / Declined medical attention and declined to file a report with CPD",Closed,17-00127
Missing Person,901 E. 58th St. (Mitchell Hospital ER),2/13/17 1:52 AM,2/13/17 1:52 AM,Individual in need of care fled from the ER without permission / Missing individual was located by UCPD investigators on 2/16/17 safe and secure at home,Closed,17-00128
Assist Other Agency,1149 E. 46th St.,2/13/17 8:17 AM,2/13/17 8:17 AM,UCPD officer detained individual in possession of a stolen vehicle with stolen license plates / Turned over to CPD / CPD case JA142008,CPD,17-00129
Domestic Battery,5721 S. Maryland (Comer Hospital),2/13/17 10:22 AM,2/13/17 10:20 AM,Boyfriend struck girlfriend several times with his fists / Arrested by UCPD officers,Arrest,17-00130
Fire,970 E. 58th St.,2/13/17 2:39 PM,2/13/17 2:39 PM,Contents of trash compactor outside of building caught fire / Fire extinguished by CFD / No injuries or property damage reported,Closed,17-00131
Information / Death Investigation,5550 S. Dorchester,2/13/17 9:50 AM,2/13/17 9:50 AM,Individual found deceased at home / CPD death investigation,CPD,17-00132
Information / Harassment by Electronic Means,53rd St. between Woodlawn & Kimbark,2/14/17 1:11 PM,2/9/17 to 2/13/17 10:00 PM to 10:00 PM,A known person has been sending harassing messages via e-mail and phone to the complainant / Referred to CPD,CPD,17-00133
Information,901 E. 58th St. (Mitchell Hospital ER),2/15/17 6:45 AM,1/29/17 to 2/14/2017  12:00 PM to 12:00 PM,Physician reports DEA number has been compromised,Referred,17-00134
Disturbance,5700 S. Maryland (CCD),2/15/17 9:37 AM,2/15/17 9:30 AM,Visitor caused a disturbance while staff were attending to a patient / Peace restored,Closed,17-00135
